	gene
PEG10_+_94285426.23-P1	PEG10
PIK3CB_+_138553654.23-P1P2	PIK3CB
PLEKHO2_+_65133841.23-P1P2	PLEKHO2
PLEKHO2_+_65133906.23-P1P2	PLEKHO2
PLK4_+_128801906.23-P1P2	PLK4
PLK4_-_128801714.23-P1P2	PLK4
POU3F2_-_99282213.23-P1P2	POU3F2
POU3F2_-_99282242.23-P1P2	POU3F2
PRDM1_-_106534082.23-P1P2	PRDM1
PRDM1_-_106534101.23-P1P2	PRDM1
PRTG_+_56035430.23-P1P2	PRTG
PRTG_-_56035322.23-P1P2	PRTG
PTPN12_-_77166401.23-P1P2	PTPN12
PTPN12_-_77166524.23-P1P2	PTPN12
PTPN13_+_87556134.23-P1P2	PTPN13
PTPN13_-_87515370.23-P1P2	PTPN13
PTPN1_-_49126654.23-P1P2	PTPN1
PTPN1_-_49126776.23-P1P2	PTPN1
PTPN9_-_75871727.23-P1P2	PTPN9
PTPN9_-_75871826.23-P1P2	PTPN9
RHOXF2_+_119292271.23-ENST00000371388.3	RHOXF2
RHOXF2_+_119292286.23-ENST00000371388.3	RHOXF2
RREB1_+_7107827.23-P1P2	RREB1
RREB1_+_7107890.23-P1P2	RREB1
RUNX1T1_+_93115566.23-P2	RUNX1T1
RUNX1T1_+_93115606.23-P2	RUNX1T1
S1PR2_+_10342062.23-P1P2	S1PR2
S1PR2_+_10342094.23-P1P2	S1PR2
SAMD1_+_14201604.23-P1P2	SAMD1
SAMD1_+_14201736.23-P1P2	SAMD1
SET_+_131451355.23-P1P2	SET
SET_-_131451279.23-P1P2	SET
SGK1_+_134496352.23-P1	SGK1
SGK1_-_134496214.23-P1	SGK1
SLC38A2_+_46766709.23-P1P2	SLC38A2
SLC38A2_+_46766743.23-P1P2	SLC38A2
SLC4A1_+_42345604.23-P1P2	SLC4A1
SLC4A1_+_42345700.23-P1P2	SLC4A1
SLC6A9_+_44497266.23-P1P2	SLC6A9
SLC6A9_+_44497273.23-P1P2	SLC6A9
SNAI1_+_48599338.23-P1P2	SNAI1
SPI1_+_47400397.23-P1P2	SPI1
SPI1_+_47400477.23-P1P2	SPI1
STIL_-_47779900.23-P1P2	STIL
STIL_-_47780136.23-P1P2	STIL
TBX2_+_59476912.23-P1P2	TBX2
TBX2_+_59477100.23-P1P2	TBX2
TBX3_+_115122163.23-P1P2	TBX3
TBX3_-_115122232.23-P1P2	TBX3
TGFBR2_-_30647895.23-P1P2	TGFBR2
TGFBR2_-_30647920.23-P1P2	TGFBR2
TMEM173_+_138862463.23-P1P2	TMEM173
TMEM173_-_138862534.23-P1P2	TMEM173
TMSB4X_+_12993106.23-P1	TMSB4X
TMSB4X_+_12993114.23-P1	TMSB4X
TP73_+_3568744.23-P1P2	TP73
TSC22D1_-_45011354.23-P1P2	TSC22D1
TSC22D1_-_45011365.23-P1P2	TSC22D1
UBASH3A_+_43823772.23-P1P2	UBASH3A
UBASH3A_-_43823838.23-P1P2	UBASH3A
UBASH3B_+_122526277.23-P1P2	UBASH3B
UBASH3B_-_122526266.23-P1P2	UBASH3B
ZBTB10_+_81398318.23-P1P2	ZBTB10
ZBTB10_-_81398128.23-P1P2	ZBTB10
ZBTB1_+_64970303.23-P1P2	ZBTB1
ZBTB1_-_64971139.23-P1P2	ZBTB1
ZBTB25_-_64971433.23-P1P2	ZBTB25
ZBTB25_-_64971449.23-P1P2	ZBTB25
ZC3HAV1_+_138794557.23-P1P2	ZC3HAV1
ZC3HAV1_+_138794578.23-P1P2	ZC3HAV1
ZNF318_+_43337335.23-P1P2	ZNF318
ZNF318_-_43337365.23-P1P2	ZNF318
negative_control_0	negative
negative_control_1	negative
negative_control_10	negative
negative_control_11	negative
negative_control_12	negative
negative_control_13	negative
negative_control_14	negative
negative_control_15	negative
negative_control_2	negative
negative_control_3	negative
negative_control_4	negative
negative_control_6	negative
negative_control_7	negative
negative_control_8	negative
negative_control_9	negative
